timestamp,current_replicas
1757879784,1
1757879794,1
1757879804,1
1757879815,1
1757879825,1
1757879835,1
1757879846,1
1757879856,1
1757879866,1
1757879877,1
1757879887,1
1757879897,1
1757879908,1
1757879918,1
1757879928,1
1757879939,1
1757879949,1
1757879959,1
1757879970,1
1757879980,1
1757879991,1
1757880001,1
1757880011,1
1757880021,1
1757880032,1
1757880042,1
1757880053,1
1757880063,1
1757880073,1
1757880084,1
1757880094,1
1757880104,1
1757880115,1
1757880125,1
1757880135,1
1757880145,1
1757880156,1
1757880166,1
1757880176,1
1757880187,1
1757880197,1
1757880207,1
1757880218,1
1757880228,1
1757880238,1
1757880249,1
1757880259,1
1757880269,1
1757880280,1
1757880290,1
1757880300,1
1757880311,1
1757880321,1
1757880331,1
1757880342,1
1757880352,1
1757880363,1
1757880373,1
1757880383,1
1757880393,1
1757880404,1
1757880414,1
1757880425,1
1757880435,1
1757880445,1
1757880455,1
1757880466,1
1757880476,1
1757880486,1
1757880497,1
1757880507,1
1757880517,1
1757880528,1
1757880538,1
1757880548,1
1757880559,1
1757880569,1
1757880579,1
1757880590,1
1757880600,1
1757880610,1
1757880621,1
1757880631,1
1757880641,1
1757880652,1
1757880662,1
1757880672,1
1757880683,1
1757880693,1
