timestamp,max_replicas
1758154561,10
1758154571,10
1758154582,10
1758154592,10
1758154603,10
1758154613,10
1758154624,10
1758154634,10
1758154645,10
1758154655,10
1758154666,10
1758154676,10
1758154687,10
1758154697,10
1758154708,10
1758154718,10
1758154729,10
1758154739,10
1758154750,10
1758154760,10
1758154771,10
1758154781,10
1758154792,10
1758154802,10
1758154813,10
1758154823,10
1758154834,10
1758154844,10
1758154855,10
1758154866,10
1758154876,10
1758154887,10
1758154897,10
1758154908,10
1758154918,10
1758154929,10
1758154940,10
1758154950,10
1758154961,10
1758154971,10
1758154982,10
1758154992,10
1758155003,10
1758155013,10
1758155024,10
1758155034,10
1758155045,10
1758155055,10
1758155066,10
1758155076,10
1758155087,10
1758155097,10
1758155108,10
1758155118,10
1758155129,10
1758155139,10
1758155150,10
1758155160,10
1758155171,10
1758155181,10
1758155192,10
1758155202,10
1758155213,10
1758155223,10
1758155234,10
1758155245,10
1758155255,10
1758155266,10
1758155276,10
1758155287,10
1758155297,10
1758155307,10
1758155318,10
1758155328,10
1758155339,10
1758155350,10
1758155360,10
1758155371,10
1758155381,10
1758155392,10
1758155402,10
1758155412,10
1758155423,10
1758155433,10
1758155444,10
1758155454,10
1758155465,10
