timestamp,current_replicas
1757890387,2
1757890400,1
1757890414,1
1757890429,1
1757890445,1
1757890460,2
1757890475,2
1757890490,2
1757890505,2
1757890519,2
1757890534,2
1757890549,2
1757890564,2
1757890578,4
1757890593,4
1757890608,4
1757890622,4
1757890637,4
1757890652,4
1757890666,4
1757890681,4
1757890696,4
1757890710,4
1757890725,4
1757890740,4
1757890755,4
1757890769,4
1757890785,4
1757890799,4
1757890815,4
1757890830,4
1757890845,4
1757890860,4
1757890874,4
1757890889,4
1757890904,4
1757890919,4
1757890933,4
1757890948,4
1757890962,4
1757890977,4
1757890992,4
1757891006,4
1757891021,4
1757891035,4
1757891050,4
1757891065,4
1757891079,4
1757891094,4
1757891109,4
1757891123,4
1757891138,4
1757891153,4
1757891167,4
1757891182,4
1757891197,4
1757891212,4
1757891226,4
1757891241,4
1757891255,4
1757891270,4
1757891285,4
