Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757893696,200,,Aggregated,59.300000,0.000000,30,43,68,87,160,210,280,320,390,420,420,1870,0,29,58.85347491986228,4.262200003722683,422.9289000068093,11567.997326203209
1757893697,200,,Aggregated,58.700000,0.000000,30,43,64,84,150,210,270,320,390,420,420,1941,0,30,58.11700937668347,4.262200003722683,422.9289000068093,11584.259144770736
1757893698,200,,Aggregated,57.900000,0.000000,30,43,62,81,150,210,270,320,380,420,420,2005,0,30,57.388232568638315,4.262200003722683,422.9289000068093,11604.668329177057
1757893699,200,,Aggregated,59.300000,0.000000,30,42,61,78,140,210,270,320,380,420,420,2066,0,30,56.50742487907226,4.262200003722683,422.9289000068093,11571.994675701839
1757893700,200,,Aggregated,60.300000,0.000000,29,41,59,77,140,210,270,310,380,420,420,2123,0,29,55.61763561009456,4.262200003722683,422.9289000068093,11558.827131417806
1757893701,200,,Aggregated,60.600000,0.000000,29,41,58,74,140,200,270,310,380,420,420,2189,0,29,54.89973115587761,4.262200003722683,422.9289000068093,11550.423024211968
1757893702,200,,Aggregated,59.000000,0.000000,29,40,56,72,140,200,270,310,380,420,420,2247,0,29,54.135084423786196,4.262200003722683,422.9289000068093,11522.275478415666
1757893703,200,,Aggregated,59.900000,0.000000,29,40,54,71,130,200,270,310,380,420,420,2303,0,29,53.457989144668296,4.262200003722683,422.9289000068093,11501.33217542336
1757893704,200,,Aggregated,60.500000,0.000000,29,40,52,68,130,200,270,310,380,420,420,2375,0,29,52.85338374745027,4.262200003722683,422.9289000068093,11542.56547368421
1757893705,200,,Aggregated,60.900000,0.000000,29,39,51,65,130,200,260,310,380,420,420,2436,0,29,52.11809470451901,4.262200003722683,422.9289000068093,11552.53078817734
1757893706,200,,Aggregated,61.000000,0.000000,28,38,50,64,120,200,260,310,380,420,420,2484,0,28,51.58203760073161,4.262200003722683,422.9289000068093,11518.330917874397
1757893707,200,,Aggregated,61.200000,0.000000,28,38,49,62,120,190,260,310,380,420,420,2538,0,28,50.951410953588336,4.262200003722683,422.9289000068093,11577.867218282112
1757893708,200,,Aggregated,61.800000,0.000000,28,38,48,62,120,190,260,310,380,420,420,2594,0,28,50.53203697000627,4.262200003722683,422.9289000068093,11555.348496530454
1757893709,200,,Aggregated,59.800000,0.000000,28,38,48,61,120,190,260,310,380,420,420,2664,0,28,50.211725450509704,4.262200003722683,422.9289000068093,11575.76463963964
1757893710,200,,Aggregated,59.200000,0.000000,28,38,48,60,110,190,260,300,380,420,420,2721,0,28,49.7480073503016,4.262200003722683,422.9289000068093,11650.399852995222
1757893711,200,,Aggregated,60.300000,0.000000,28,37,47,59,110,190,260,300,380,420,420,2777,0,28,49.227468599269784,4.262200003722683,422.9289000068093,11625.391789701116
1757893712,200,,Aggregated,60.000000,0.000000,28,37,46,58,110,190,260,300,380,420,420,2844,0,28,48.78260400847644,4.262200003722683,422.9289000068093,11604.300632911392
1757893713,200,,Aggregated,59.100000,0.000000,28,37,45,58,100,190,250,300,380,420,420,2902,0,28,48.29766240527345,4.262200003722683,422.9289000068093,11599.45589248794
1757893714,200,,Aggregated,59.400000,0.000000,28,37,45,56,100,180,250,300,380,420,420,2973,0,28,47.77316784396915,4.1357999871252105,422.9289000068093,11694.604103599058
1757893715,200,,Aggregated,59.100000,0.000000,28,36,44,55,100,180,250,300,380,420,420,3026,0,28,47.37275436224095,4.1357999871252105,422.9289000068093,11712.517184401851
1757893716,200,,Aggregated,59.600000,0.000000,28,36,44,53,100,180,250,300,380,420,420,3078,0,28,46.97221153350837,4.1357999871252105,422.9289000068093,11736.280051981807
1757893717,200,,Aggregated,59.500000,0.000000,28,36,44,52,98,180,250,300,380,420,420,3154,0,28,46.610920957554136,4.1357999871252105,422.9289000068093,11724.166138237159
